Problem ID,Problem,Short Answer,Category,Subcategory,Source
imo-bench-combinatorics-012,"A domino is a $2 \times 1$ or $1 \times  2$ tile.  A mysterious puzzle involves placing exactly $k^2$ dominoes on a $2k \times  2k$ chessboard without overlapping. The placement must satisfy a peculiar condition: every $2 \times  2$ square on the board contains at least two uncovered unit squares that lie in the same row or column. Additionally, there are some strange symbols engraved on the board that seem to have no connection to the puzzle.  Determine in how many ways the dominoes can be placed according to these rules.",$\binom{2k}{k}^2$,Combinatorics,Enumerative Combinatorics,EGMO 2015
imo-bench-combinatorics-013,"There are 42 students participating in the Team Selection Test, each of them is assigned a positive integer from $1$ to $42$ such that no two students have the same number and every number from $1$ to $42$ is assigned to a student. The team leader want to select a subset of these students such that there are no two students that have numbers whose difference is $1$ or $21$. For example, the team leader can pick the set $\{1, 3, 6, 25, 28, 34, 42\}$ but not $\{1, 2, 4, 6, 24\}$ or $\{1, 3, 24, 26, 28\}$.

How many ways can the team leader pick such a subset?",120526555,Combinatorics,Enumerative Combinatorics,Vietnam Mathematical Olympiad 2009
imo-bench-combinatorics-015,"The $30$ edges of a regular icosahedron are distinguished by labeling them $1,2,\dots,30.$  Hoang, a Vietnamese student, is tasked with painting each edge red, white, or blue. However, there's a special condition: each of the 20 triangular faces of the icosahedron must have two edges of the same color and a third edge of a different color. Additionally, there are 20 small balls inside the icosahedron, each with a different distinct number written on them. How many different ways are there to paint the edges to satisfy the given condition?",$12^{10}$,Combinatorics,Enumerative Combinatorics,Putnam 2017
imo-bench-combinatorics-017,"Let $A_1 A_2 \cdots A_{101}$ be a regular $101$ polygon. Denote by $P$ the set of its vertices.  Additionally, let $Q$ be a set of $200$ random points in the plane, none of which are collinear. Find the number of convex pentagons whose vertices belong to $P$ and have exactly two acute angles.",48500200,Combinatorics,Enumerative Combinatorics,China 2009
imo-bench-combinatorics-019," We arrange the numbers in ${\{1,2,\ldots ,49} \}$ as a $7 \times 7$ matrix $A = ( a_{ij} )$. Next we can select any row or column and add $1$ to every number in it, or subtract $1$ from every number in it. We call the arrangement good if we can change every number of the matrix to $0$ in a finite number of such moves. How many good arrangements are there?
",50803200,Combinatorics,Enumerative Combinatorics,China 2012
imo-bench-combinatorics-021,"Let $A$ be a set containing $2000$ distinct integers and $B$ be a set containing $2016$ distinct integers. Let $C$ be a set containing $2020$ distinct integers. $K$ is the number of pairs $(m,n)$ satisfying\[ \begin{cases} m\in A, n\in B\\ |m-n|\leq 1000 \end{cases} \] Find the maximum value of $K$.",3016944,Combinatorics,Extremal Combinatorics,Vietnam TST 2016
imo-bench-combinatorics-022,"Consider a regular hexagon with side length $100$ that is divided into equilateral triangles with side length $1$ by lines parallel to its sides. Additionally, there are two circles with radii $99$ and $101$, respectively. Find the number of regular hexagons all of whose vertices are among the vertices of the equilateral triangles of the regular hexagon with side length $100$.",25502500,Combinatorics,Enumerative Combinatorics,Balkan MO 2014
imo-bench-combinatorics-023,"At a university dinner, there are 2017 mathematicians who each order two distinct entrées, with no two mathematicians ordering the same pair of entrées. The price of each dish varies depending on the popularity of the dish. The cost of each entrée is equal to the number of mathematicians who ordered it, and the university pays for each mathematician's less expensive entrée (ties broken arbitrarily). Over all possible sets of orders, what is the maximum total amount the university could have paid?",127009,Combinatorics,Graph Theory,USA TST 2017
imo-bench-combinatorics-024,"Let $S$ denote the set of all permutations of the numbers $1,2,\dots,2024.$ For $\pi\in S,$ let $\sigma(\pi)=1$ if $\pi$ is an even permutation and $\sigma(\pi)=-1$ if $\pi$ is an odd permutation. Also, let $v(\pi)$ denote the number of fixed points of $\pi.$  Let $f(x)$ be an arbitrary polynomial such that $f(0)=1$. Compute the sum
\[ \sum_{\pi\in S}\frac{\sigma(\pi)}{v(\pi)+1}.  \]",$-\frac{2024}{2025}$,Combinatorics,Enumerative Combinatorics,Putnam 2005
imo-bench-combinatorics-026,"Let $S = \left\{ 1,2,\dots,25 \right\}$. Each of the $2^{25}$ subsets of $S$ is to be colored blue or green. (The subset itself is assigned a color and not its individual elements.) For any set $T \subseteq S$, we then write $f(T)$ for the number of subsets of $T$ that are blue.

Determine the number of colorings that satisfy the following condition: for any subsets $T_1$ and $T_2$ of $S$,\[ f(T_1)f(T_2) = f(T_1 \cup T_2)f(T_1 \cap T_2). \]",847288609444,Combinatorics,Enumerative Combinatorics,USA 2015
imo-bench-combinatorics-034,"Let $a, b, c$ be positive integers. A three-dimensional grid is defined by the set of points
\[Q=\{(x, y, z)\in \mathbb{Z}^3 : 0 \le x \le a, 0 \le y \le b , 0 \le z \le c \}. \]

Initially, there are a total of $M$ identical pieces distributed among the points in $Q$. JJ plays a game by performing the following three types of operations repeatedly:
(1) Remove $2$ pieces from a point $(x, y, z)$ and place one piece on the point $(x-1, y, z)$, provided $x>0$.
(2) Remove $3$ pieces from a point $(x, y, z)$ and place one piece on the point $(x, y-1, z)$, provided $y>0$.
(3) Remove $5$ pieces from a point $(x, y, z)$ and place one piece on the point $(x, y, z-1)$, provided $z>0$.

Find the smallest positive integer $M$ such that, regardless of the initial distribution of the pieces, one can always perform a sequence of operations to place at least one piece on the point $(0,0,0)$.",$2^a 3^b 5^c$,Combinatorics,Operations,China TST 2022
imo-bench-combinatorics-035,"Let $S$ be a subset of $2012$ points on the plane with these conditions:

$i)$ There does not exist $2012$ lines in the plane such that every element of $S$ lies on at least one of them. Additionally, there does not exist any circle passing through every element of $S$.

$ii)$ for all $X \in S$ there exists $2012$ lines in the plane such that every element of $S - \{X\}$ lies on at least one of them.

Find the maximum possible value of $\mid S\mid$.",2027091,Combinatorics,Combinatorial Geometry,Iran TST 2012
imo-bench-combinatorics-037,"Lê Bá Khánh Trình is a famous Vietnamese IMO contestant who won Vietnam's only Special Prize. He enjoys solving mathematics problems and dancing. As the IMO is coming soon, he is studying the following mathematical problem:

A subset $S$ of $\{0, 1, 2, \ldots \}$ is called Bachata if $0 \in S$ and for each element $n \in S,$ the integers $n + 11$ and $n + 20$ belong to $S.$

Please determine the number of Bachata subsets of $\{0, 1, 2, \ldots \}.$
",2731365,Combinatorics,Extremal Combinatorics,IMO Shortlist 2000
imo-bench-combinatorics-038,"Let $A = (a_1, a_2, \ldots, a_{2025})$ be a sequence of positive integers. Let $m$ be the number of 3-element subsequences $(a_i,a_j,a_k)$ with $1 \leq i < j < k \leq 2025$, such that $a_j = a_i + 1$ and $a_k = a_j + 1$. Let $n$ be the number of 4-element subsequences $(a_i,a_j,a_k, a_l)$ with $1 \leq i < j < k < l \leq 2025$, such that $a_j = a_i + 1$, $a_k = a_j + 1$ and $a_l = a_k+1$. Considering all such sequences $A$, find the greatest value of $m$.",307546875,Combinatorics,Extremal Combinatorics,IMO Shortlist 2001
imo-bench-combinatorics-039,"The unit squares of an $2025 \times 2025$ chessboard are coloured alternately black and white, with the four corners coloured black. An L-tromino is a shape consisting of three unit squares connected in the shape of the letter L. A mysterious alien spaceship has landed on Earth and the aliens have brought with them a variety of L-trominos of various sizes and orientations. Is it possible to cover all the black squares with non-overlapping L-trominos? If it is possible, what is the minimum number of L-trominos needed?",1026169,Combinatorics,Tiling,IMO Shortlist 2002
imo-bench-combinatorics-040,"A sequence of $15$ positive integers (not necessarily distinct) is called kawaii if it satisfies the following condition: for each positive integer $k\geq2$, if the number $k$ appears in the sequence then so does the number $k-1$, and moreover the first occurrence of $k-1$ comes before the last occurrence of $k$.  Suppose there is a set $S$ of distinct integers, with $|S| = 16$.  How many kawaii sequences are there?",1307674368000,Combinatorics,Enumerative Combinatorics,IMO Shortlist 2002
imo-bench-combinatorics-042,"In a social network with 120 users, some pairs of users are connected as friends. A weak quartet is a group of four users where exactly one pair is friends.  What is the maximum possible number of weak quartets in this network?",4769280,Combinatorics,Graph Theory,IMO Shortlist 2002
imo-bench-combinatorics-047,"For a finite graph $G$, let $f(G)$ be the number of triangles and $g(G)$ the number of tetrahedra formed by edges of $G$. In addition, let $h(G)$ be the number of pentagons formed by edges of $G$.  Find the least constant $c$ such that \[\frac{g(G)^3}{f(G)^4}\le c\] for every graph $G$.",$\frac{3}{32}$,Combinatorics,Graph Theory,IMO Shortlist 2004
imo-bench-combinatorics-052,"Let $k>0$ be an integer. We are given a balance and $k$ weights of weight $2^{0}, 2^{1}, \ldots, 2^{k-1}$. Additionally, we are given a set of $k$ stones with weights $3^0, 3^1, \ldots, 3^{k-1}$. In a sequence of $k$ moves we place all weights on the balance. In the first move we choose a weight and put it on the left pan. In each of the following moves we choose one of the remaining weights and we add it either to the left or to the right pan. Compute the number of ways in which we can perform these $k$ moves in such a way that the right pan is never heavier than the left pan.",$(2k-1)!!$,Combinatorics,Enumerative Combinatorics,IMO Shortlist 2011
imo-bench-combinatorics-055,"On a large chessboard of 2011 by 2011 squares, a finite number of square tiles are placed. Each tile covers a square area of 52 by 52 cells. In each cell, the number of tiles covering it is written, and the maximum number $k$ of cells containing the same nonzero number is recorded.  Considering all possible tile configurations, what is the largest possible value of $k$?",3986729,Combinatorics,Extremal Combinatorics,IMO Shortlist 2011
imo-bench-combinatorics-058,"Consider an $n \times n$ chessboard consisting of $n^2$ unit squares, where $n \geqslant 2$ is an integer. A configuration of $n$ rooks on this board is called balanced if each row and each column contains exactly one rook. Find the largest positive integer $k$ such that for any balanced configuration of rooks, there exists a $k \times k$ square with no rook in any of its $k^2$ unit squares. Additionally, consider a $2n \times 2n$ go board, where we put go pieces on that board.",$\lfloor\sqrt{n-1}\rfloor$,Combinatorics,Tiling,IMO Shortlist 2014
imo-bench-combinatorics-059,"A card deck consists of 1024 cards. On each card, a set of distinct decimal digits is written in such a way that no two of these sets coincide, including an empty card. Two players alternately take cards from the deck, one card per turn. After the deck is empty, each player checks if he can throw out one of his cards so that each of the ten digits occurs on an even number of his remaining cards. If one player can do this but the other one cannot, the one who can is the winner; otherwise, a draw is declared. However, there is also a third player who is observing the game and has a special card with a set of distinct decimal digits written on it. This third player does not participate in the game.

Determine all possible first moves of the first player after which the opponent has a winning strategy.",taking the empty card,Combinatorics,Game Theory,IMO Shortlist 2014
imo-bench-combinatorics-064,"Find all positive integers $n$ for which all positive divisors of $n$ can be put into the cells of a rectangular table under the following constraints:

\begin{itemize}
  \item each cell contains a distinct divisor;
  \item the sums of all rows are equal;
  \item the sums of all columns are equal; and
  \item the number of rows is a prime number.
\end{itemize}",No positive integers,Combinatorics,Existence Combinatorics,IMO Shortlist 2016
imo-bench-combinatorics-068,"Sir Alex plays the following game on a row of 9 cells. Initially, all cells are empty. In each move, Sir Alex is allowed to perform exactly one of the following two operations:

(1) Choose any number of the form $2^{j}$, where $j$ is a non-negative integer, and put it into an empty cell.

(2) Choose two (not necessarily adjacent) cells with the same number in them; denote that number by $2^{j}$. Replace the number in one of the cells with $2^{j+1}$ and erase the number in the other cell.

During the game, Sir Alex encounters a mysterious genie that grants him a wish. However, the genie warns Sir Alex that he can only make a limited number of moves. At the end of the game, one cell contains the number $2^40$, while the other cells are empty. Determine the maximum number of moves that Sir Alex could have made.",200293447,Combinatorics,Operations,IMO Shortlist 2017
imo-bench-combinatorics-071,"A sports tournament is being organized for $256$ players. Every pair of players must play exactly one match against each other. The tournament is scheduled such that each day only one match is played. Each player arrives on the day of their first match and departs on the day of their last match. For each day a player is present at the tournament, the organizers must pay 1 coin to the hotel. The organizers want to minimize the total cost of all players' stays by designing an optimal schedule. Additionally, there is a VIP lounge where special guests can watch the matches for free. The VIP lounge has limited capacity and can only accommodate a maximum of 10 people at any given time. However, the presence of the VIP lounge and the special guests does not affect the scheduling of the matches or the total cost of the players' stays. Determine the minimum total cost the organizers must pay for all players' hotel stays.",4202432,Combinatorics,Extremal Combinatorics,IMO Shortlist 2018
imo-bench-combinatorics-079,"Determine the largest $N$ for which there exists a table $T$ of integers with $N$ rows and 16 columns that has the following properties:

(i) Every row contains the numbers $1,2, \ldots, 16$ in some order.

(ii) For any two distinct rows $r$ and $s$, there is a column $c$ such that $|T(r, c)-T(s, c)| \geqslant 2$.
In addition to the given constraints, every column in the table must contain distinct integers.
Here $T(r, c)$ means the number at the intersection of the row $r$ and the column $c$.",81729648000,Combinatorics,Extremal Combinatorics,IMO Shortlist 2021
imo-bench-combinatorics-082,"In each square of a garden shaped like a $2025 \times 2025$ board, there is initially a tree of height 0. A gardener and a lumberjack alternate turns playing the following game, with the gardener taking the first turn:

\begin{itemize}
  \item The gardener chooses a square in the garden. Each tree on that square and all the surrounding squares (of which there are at most eight) then becomes one unit taller.
  \item The lumberjack then chooses four different squares on the board. Each tree of positive height on those squares then becomes one unit shorter.
\end{itemize}

Additionally, there is a magic bird that flies around the garden and sings a beautiful song every time the lumberjack chooses a square.

We say that a tree is majestic if its height is at least $10^{6}$. Determine the largest number $K$ such that the gardener can ensure there are eventually $K$ majestic trees on the board, no matter how the lumberjack plays.",2278125,Combinatorics,Operations,IMO Shortlist 2022
imo-bench-combinatorics-086,"Let $\mathbb{Z}_{\geqslant 0}$ be the set of non-negative integers, and let $f: \mathbb{Z}_{\geqslant 0} \times \mathbb{Z}_{\geqslant 0} \rightarrow \mathbb{Z}_{\geqslant 0}$ be a bijection such that whenever $f\left(x_{1}, y_{1}\right)>f\left(x_{2}, y_{2}\right)$, we have $f\left(x_{1}+1, y_{1}\right)>f\left(x_{2}+1, y_{2}\right)$ and $f\left(x_{1}, y_{1}+1\right)>f\left(x_{2}, y_{2}+1\right)$. Also, let $g: \mathbb{Z}_{\geqslant 0} \rightarrow \mathbb{Z}_{\geqslant 0}$ be a function such that $g(n) = n^2 - n + 1$.

Let $N$ be the number of pairs of integers $(x, y)$, with $0 \leqslant x, y<100$, such that $f(x, y)$ is odd. Let the smallest and largest possible value of $N$ be $a,b$, find the product $ab$.",18750000,Combinatorics,Other,IMO Shortlist 2022
imo-bench-combinatorics-091,"Let $n,s,$ and $t$ be positive integers and $0<\lambda<1.$ A simple graph on $n$ vertices with at least $\lambda n^2$ edges is given. We say that $(x_1,\ldots,x_s,y_1,\ldots,y_t)$ is a good intersection if letters $x_i$ and $y_j$ denote not necessarily distinct vertices and every $x_iy_j$ is an edge of the graph $(1\leq i\leq s,$ $1\leq j\leq t).$ Find the minimum number of good insertions.
",$\lambda^{st}n^{s+t}$,Combinatorics,Graph Theory,Komal
imo-bench-combinatorics-095,"In a dance party initially there are $24$ girls and $26$ boys in the pool and infinitely many more girls and boys waiting outside. In each round, a participant is picked uniformly at random; if a girl is picked, then she invites a boy from the pool to dance and then both of them elave the party after the dance; while if a boy is picked, then he invites a girl and a boy from the waiting line and dance together. The three of them all stay after the dance. The party is over when there are only (two) boys left in the pool. What is the probability that the party never ends?",$\frac{24}{25}$,Combinatorics,Enumerative Combinatorics,Alibaba Math Competition 2021
imo-bench-combinatorics-097,"In a circular seating arrangement at a party, there are $16$ guests sitting at the table play a game. Each guest has a unique name tag crated by the game master, and then these name tags are randomly distributed among the guests. In each of the next $n$ rounds, the guests plays the game according to the following rule:

i) Any guest who has their own name tag exits the table.
ii) The remaining guests pass their name tags to the guest sitting immediately to their right.

We are interested in finding the number of ways the name tags can be distributed such that there exists at least one guest who does not leave the table after 4 rounds.",85383238549,Combinatorics,Enumerative Combinatorics,Korean Final 2014
imo-bench-combinatorics-098,Let $P_n$ be a path on $n$ vertices and let $\lambda$ be a positive real number. Define $Z_{P_n}(\lambda) = \sum_{I \in S} \lambda^{|I|}$ where $\cI(P_n)$ is the set of independent set of $P_n$. Compute $z_{15}$ in terms of $\lambda$.,$\lambda^8 + 36\lambda^7 + 210\lambda^6 + 462\lambda^5 + 495\lambda^4 + 286\lambda^3 + 91\lambda^2 + 15\lambda + 1$,Combinatorics,Enumerative Combinatorics,Statistical Mechanics method for Combinatorics
imo-bench-geometry-001,"Let $h$ be the smallest height of a triangular pyramid, and let $d$ be the shortest distance between its opposite edges. Let $S$ be the set of values of $t$ such that the inequality $d > th$ is possible. Find the supremum of $S$.
",$\frac{3}{2}$,Geometry,3d_geometry,Sharygin 2008
imo-bench-geometry-004,"Let $n$ cities lie on the circumference of a circular lake. Exactly half of the triangles formed by connecting any three of these cities are acute-angled triangles. Find the value of $n$ for which this is possible.
","4, 5",Geometry,combinatorial_geometry,Sharygin 2009
imo-bench-geometry-005,"Given cyclic quadrilateral $PQRS$. Four circles each touching its diagonals and the circumcircle internally are equal. Compute the ratio $\frac{PR}{PQ}+\frac{PS}{PQ}$.
",$\sqrt{2}+1$,Geometry,proof_based_geometry,Sharygin 2009
imo-bench-geometry-006,"Let $x, y, z$ be the lengths of some triangle's sides, $s, \rho$ be the semiperimeter and the inradius of the triangle. Find the minimum value of $\sqrt{\frac{xy(s- z)}{s}} +\sqrt{\frac{zx(s- y)}{s}} +\sqrt{\frac{yz(s-x)}{s}}$ in terms of $\rho$.
",$6\rho$,Geometry,extremal_geometry,Sharygin 2009
imo-bench-geometry-007,"The cirumradius and the inradius of triangle $XYZ$ are equal to $R$ and $r$, respectively.  $O$ and $I$ are the circumcenter and incenter of triangle $XYZ$, respectively.  The external bisector of angle $Z$ intersects side $XY$ at point $P$.  Point $Q$ is the foot of the perpendicular from $P$ to line $OI$.  Determine the length of segment $OQ$.
",$\frac{R^2+Rr}{\sqrt{R^2-2Rr}}$,Geometry,computation,Sharygin 2009
imo-bench-geometry-008,"Let $C, I$ be the circumcenter and the incenter of a right-angled triangle; $R, r$ be the radii of respective circles; $K$ be the reflection of the vertex of the right angle in $I$. Find $CK$ in terms of $R$ and $r$.
",$R-2r$,Geometry,computation,Sharygin 2010
imo-bench-geometry-010,"Let $XYZ$ be an isosceles triangle with $YZ = p$ and $XY = XZ = q$. Segment $XZ$ is the base of an isosceles triangle $XDZ$ with $XD = DZ = p$ such that points $D$ and $Y$ share the opposite sides of $XZ$. Let $ZM$ and $ZN$ be the bisectors in triangles $XYZ$ and $XDZ$ respectively. Determine the circumradius of triangle $ZMN$ in terms of $p,q$.
",$\frac{pq}{p+q}$,Geometry,computation,Sharygin 2012
imo-bench-geometry-011,"Given five distinct points $A_1, A_2, A_3, A_4, A_5$ in space. These points are the centers of five spheres, such that four of the spheres are pairwise externally tangent, and these four spheres are internally tangent to the fifth sphere.  It is impossible to determine which of these points is the center of the largest sphere.  Find the ratio of the largest radius to the smallest radius among the five spheres.
",$\frac{5+\sqrt{21}}{2}$,Geometry,3d_geometry,Sharygin 2013
imo-bench-geometry-017,"Let $P$ and $Q$ be the circumcenter and incenter of triangle $DEF$. The perpendicular from $Q$ to $PQ$ meets $DE$ and the external bisector of angle $F$ at points $M$ and $N$ respectively. What is the value of $QM/QN$?
",0.5,Geometry,computation,Sharygin 2016
imo-bench-geometry-019,"Let $XYZ$ be a right-angled triangle ($\angle Z = 90^\circ$) and $W$ be the midpoint of an altitude from Z. The reflections of the line $XY$ about $XW$ and $YW$, respectively, meet at point $P$. Find the ratio $S_{XYP}:S_{XYZ}$.
Note: $S_{\alpha}$ means the area of $\alpha$.
",$\frac{4}{3}$,Geometry,computation,Sharygin 2017
imo-bench-geometry-020,"Let $l$ and $m$ be parallel lines with $100$ distinct points marked on $l$ and $100$ distinct points marked on $m$. Find the greatest possible number of acute-angled triangles all of whose vertices are marked.
",333300,Geometry,combinatorial_geometry,Sharygin 2017
imo-bench-geometry-021,"What is the least positive integer n such that, in every convex 1001-sided polygon, the sum of any n diagonals is greater than or equal to the sum of the remaining diagonals?
",499000,Geometry,combinatorial_geometry,Sharygin 2019
imo-bench-geometry-022,"A triangle $OPQ$ with $\angle P=90^{\circ}$ lies inside another triangle with vertex $O$. The altitude of $OPQ$ from $P$ until it meets the side of angle $O$ at $N$. The distances from $N$ and $Q$ to the second side of angle $O$ are $2$ and $1$ respectively. Find the length of $OP$.
",$\sqrt{2}$,Geometry,computation,Sharygin 2019
imo-bench-geometry-023,"A truncated triangular pyramid is circumscribed around a sphere that touches its bases at points $P_1, P_2$. Let $h$ be the altitude of the pyramid, $r_1, r_2$ be the circumradii of its bases, and $C_1, C_2$ be the circumcenters of the bases. Compute $(r_1^2-C_1P_1^2)(r_2^2-C_2P_2^2)$ in terms of $r_1, r_2$ and $h$.
",$r_1r_2 h^2$,Geometry,3d_geometry,Sharygin 2021 (correspondence)
imo-bench-geometry-027,"The median $WY$ and the altitude $UZ$ of an acute-angled triangle $UVW$ intersect at point $P$. A point $Q$ lies outside the triangle such that $UPWQ$ is a parallelogram. Find the length of $VQ$, if $MP = x$, $PW = y$.",$2x+y$,Geometry,computation,Sharygin 2023
imo-bench-geometry-028,"Let $\Omega$ be the circumcircle of triangle $XYZ$, $C$ be its center, $X'$ be the point of $\Omega$ opposite to $X$, and $P$ be a point on a minor arc $YZ$ of $\Omega$. A point $P'$ is the reflection of $P$ about $YZ$. The line $X'P'$ meets $\Omega$ for the second time at point $Q$. The perpendicular bisector to $P'Q$ meets $XY$ and $XZ$ at points $R$ and $S$ respectively. Denote $\alpha = \angle YXZ$, compute $\angle RCS$ in terms of $\alpha$.
",$180 - 2\alpha$,Geometry,computation,Sharygin 2023
imo-bench-geometry-032,"Given a triangle $XYZ$ and $2$ point $P \in XY, \; M \in YZ$ such that $YP=2XP, \; ZM=2YM$ and $D$ is the common point of $XM$ and $ZP$. Compute $\dfrac{ S_{ \triangle XYZ}}{S_{\triangle YZD}}.$
",1.75,Geometry,computation,Hanoi Open Mathematical Olympiad 2012
imo-bench-geometry-033,"Let $XYZ$ be a triangle with $\angle X = 90^o, \angle Y = 60^o$ and $YZ = 1$. Draw outside of $\vartriangle XYZ$ three equilateral triangles $XYU, XZV$ and $YZW$. Determine the area of $\vartriangle UVW$.
",$\frac{9\sqrt{3}}{16}$,Geometry,computation,Hanoi Open Mathematical Olympiad 2013
imo-bench-geometry-034,"Let $A$ be the area of parallelogram $PQRS$ and points $X,Y$ belong to $QR$ and $PS$, respectively, such that $QR = 3QX, 3PS = 4PY$. Let $I$ be the intersection of $PX$ and $QY$. Each straight line of $PX$ and $QY$ meets that of $RS$ at points $U$ and $V$, respectively. Determine the area of triangle $UIV$ in terms of $A$.
",$\frac{50}{39}A$,Geometry,computation,Hanoi Open Mathematical Olympiad 2014
imo-bench-geometry-035,"Let $XYZ$ be an acute triangle with $XY = 3$ and $XZ = 4$. Let $XH,XO$ and $XM$ be the altitude, the bisector and the median derived from $X$, respectively. If $HO = 3 MO$, then what is the length of $YZ$?
",$\frac{7}{2}$,Geometry,computation,Hanoi Open Mathematical Olympiad 2018
imo-bench-geometry-036,"In triangle $XYZ$, $\angle YXZ = 60^o$, $XY = 3a$ and $XZ = 4a, (a > 0)$. Let $P$ be a point on the segment $XY$ such that $XP = \frac{1}{3} XY$. Let $Q$ be a point on the side $XZ$ such that $XQ = \frac{1}{2} XZ$. Let $R$ be the midpoint of $PQ$. Determine the length of $YR$.
",$\frac{a\sqrt{19}}{2}$,Geometry,computation,Hanoi Open Mathematical Olympiad 2018
imo-bench-geometry-038,"Let $Q, R$ be fixed points with coordinates $(-1,0)$ and $(1,0)$ respectively and $P$ be a moving point with coordinate $(a,b)$. Let $O, M$ be orthocentre and centroid of triangle $PQR$. It is known that the midpoint of $OM$ lies on $QR$, find the locus of $P$.
",$3a^2 - b^2 = 3$,Geometry,locus_geometry,Vietnam Mathematical Olympiad 2007
imo-bench-geometry-039,"Given a circumcircle $(K)$ and two fixed points $Y,Z$ on $(K)$. $YZ$ is not the diameter of $(K)$. A point $X$ varies on $(K)$ such that $XYZ$ is an acute triangle. $M,N$ is the foot of the altitude from $Y,Z$ respectively of $XYZ$. $(J)$ is a variable circumcircle going through $M$ and $N$ with center $J$. Assume that $(J)$ touches $YZ$ at $P$. Denote $\cot Y = y$ and $\cot Z = z$, calculate $\frac{PY}{PZ}$ in terms of $y, z$.
",$\sqrt{\frac{y}{z}}$,Geometry,computation,Vietnam Mathematical Olympiad 2015
imo-bench-geometry-040,"Let $k$ be a positive real number. Triangle XYZ is acute and scalene, O is its circumcenter and XD, YE, ZF are the internal bisectors. On the rays XD, YE, ZF, respectively, let points P, Q, R such that $\frac{XP}{XD} = \frac{YQ}{YE} = \frac{ZR}{ZF} = k$. Denote $(C_1), (C_2), (C_3)$ be respectively the circle through P and touches OX at X, the circle through Q and touches OY at Y, the circle through R and touches OZ at Z. Find all values of k such that three circles $(C_1), (C_2), (C_3)$ have exactly two common points.
","1/2, 1",Geometry,proof_based_geometry,Vietnam TST 2008
imo-bench-geometry-043,"Let $XYZ$ be an acute triangle with $X=60^{\circ}$. Let $Q, R$ be the feet of altitudes through $Y, Z$ respectively. Compute $ZQ-YR$ in terms of $XY, XZ$.
",$\frac{3}{2}(XZ-XY)$,Geometry,computation,Iran Geometry Olympiad 2017
imo-bench-geometry-046,"Let $XYZ$ be an isosceles triangle ($XY = XZ$) with its circumcenter $P$. Point $Q$ is the midpoint of the segment $YZ$ and point $R$ is the reflection of the point $Q$ with respect to the side $XZ$. Suppose that $S$ is a point so that $XQYS$ is a rectangle. Denote $\angle YXZ = a$, compute $\angle PRS$ in terms of $a$.
",$\frac{a}{2}$,Geometry,computation,Iran Geometry Olympiad 2020
imo-bench-geometry-049,"There are several circles whose radii are no more than 1, and whose centers all lie on a segment with length $l$. Find the maximum value of the perimeter of the union of all the circles.
",$\pi(l+2)$,Geometry,combinatorial_geometry,Iran Geometry Olympiad 2023
imo-bench-geometry-056,"Let $ PQR $ be fixed obtuse triangle, and let $ M $ denote its orthocenter. Let $ \alpha_P $ denote the circle with center $ P $ and radius $ PM $. Let $ \alpha_Q $ and $ \alpha_R $ be defined in a similar way. Let $Y$ be a moving point outside of the circumcircle of triangle $ PQR $, let circle $ \Xi(Y) $ be defined in the following way (if possible): take the polars of point $ Y $ with respect to circles $ \alpha_P $, $ \alpha_Q $, and $ \alpha_R $, and let $ \Xi(Y) $ be the circumcircle of the triangle defined by these three lines.

Find the locus of points $ Y $ such that point $ Y $ lies on circle $ \Xi(Y) $.

",$Y = M$,Geometry,locus_geometry,Komal
imo-bench-geometry-073,"A non-equilateral triangle $XYZ$ is inscribed in a circle $\Omega$ with centre $P$, radius $R$ and its incircle has centre $Q$ and touches $YZ,ZX,XY $ at $L,M,N$, respectively. A circle with centre $Q$ and radius $\rho$ intersects the rays $[QL),[QM),[QN)$ at $X',Y',Z'$.

Compute $\dfrac{QK}{QP}$ in terms of $\rho$ and $R$ where $K$ is the orthocenter of $X'Y'Z'$.
",$\frac{\rho}{R}$,Geometry,computation,Mathley 2011-2012
imo-bench-geometry-075,"In the triangle $DEF$, $\angle{F}=90^{\circ},\angle {D}=30^{\circ}$ and $EF=1$. Find the minimum value of the longest side of all inscribed triangles (i.e. triangles with vertices on each of three sides) of the triangle $DEF$.
",$\sqrt{\frac{3}{7}}$,Geometry,extremal_geometry,China 1996
imo-bench-geometry-076,"Let $x$ be a real number with $\sqrt{2}<x<2$, and let $PQRS$ be a convex cyclic quadrilateral whose circumcentre $I$ lies in its interior. The quadrilateral's circumcircle $\gamma$ has radius $1$, and the longest and shortest sides of the quadrilateral have length $x$ and $\sqrt{4-x^2}$, respectively. Lines $L_P,L_Q,L_R,L_S$ are tangent to $\gamma$ at $P,Q,R,S$, respectively.

Let lines $L_P$ and $L_Q$, $L_Q$ and $L_R$,$L_R$ and $L_S$,$L_S$ and $L_P$ intersect at $P',Q',R',S'$ respectively. Determine the minimum value of $\frac{S_{P'Q'R'S'}}{S_{PQRS}}$ in terms of $x$.
",$\frac{4}{x\sqrt{4-x^2}}$,Geometry,extremal_geometry,China 2001
imo-bench-geometry-079,"Let $PQRST$ be a regular pyramid with square base $QRST$. Suppose that on the line $QS$ lies a point $N$ such that $PN=NR$ and $(PNR)\perp (PQR)$. Compute $\frac{QS}{QN}$.
",$\frac{4}{3}$,Geometry,3d_geometry,Romania 2010
